sample,q1,q2,q3,q4,q5,all
random_0,0.290322581,0.333333333,0.161290323,0.366666667,0.580645161,0.346405229
random_1,0.322580645,0.266666667,0.35483871,0.266666667,0.612903226,0.366013072
random_2,0.258064516,0.3,0.322580645,0.266666667,0.516129032,0.333333333
random_3,0.258064516,0.133333333,0.161290323,0.266666667,0.612903226,0.287581699
random_4,0.193548387,0.266666667,0.258064516,0.466666667,0.516129032,0.339869281
random_5,0.322580645,0.333333333,0.322580645,0.366666667,0.516129032,0.37254902
random_6,0.193548387,0.266666667,0.161290323,0.166666667,0.677419355,0.294117647
random_7,0.35483871,0.166666667,0.322580645,0.233333333,0.516129032,0.320261438
random_men,0.290322581,0.333333333,0.258064516,0.433333333,0.548387097,0.37254902
random_9,0.322580645,0.2,0.225806452,0.433333333,0.516129032,0.339869281
all_men,0.294117647,0.297468354,0.256198347,0.318777293,0.547727273,0.394160584
women,0.193548387,0.333333333,0.258064516,0.333333333,0.451612903,0.31372549
random_av,0.280645161,0.26,0.25483871,0.326666667,0.561290323,0.337254902
diff_random,0.087096774,-0.073333333,-0.003225806,-0.006666667,0.109677419,0.023529412
diff_all,0.10056926,-0.035864979,-0.001866169,-0.014556041,0.09611437,0.080435094
diff_randomd_women,0.45,-0.22,-0.0125,-0.02,0.242857143,0.075
diff_alld_women,0.519607843,-0.107594937,-0.007231405,-0.043668122,0.212824675,0.256386861
prob_w,,,,,,0.449275362
prob_am,,,,,,0.639344262
prob_rm,,,,,,0.508295626
odds_rm,,,,,,1.131367684
odds_am,,,,,,1.423056584
per_more_likely_rm,,,,,,13.13676835
per_more_likely_am,,,,,,42.30565838
