,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,c_fname,c_lname,gender,probability,count,scholar_id,citedby
0,J,"Holland, G; Ballentine, CJ",,,,"Holland, G; Ballentine, CJ",,,Seawater subduction controls the heavy noble gas composition of the mantle,NATURE,,,English,Article,,,,,,,MID-ATLANTIC RIDGE; STATE UPPER-MANTLE; EARTHS MANTLE; LOIHI SEAMOUNT; NEON ISOTOPES; MASS-TRANSFER; POPPING ROCK; LAU BASIN; BASALTS; HELIUM,"The relationship between solar volatiles and those now in the Earth's atmosphere and mantle reservoirs provides insight into the processes controlling the acquisition of volatiles during planetary accretion and their subsequent evolution. Whereas the light noble gases ( helium and neon) in the Earth's mantle preserve a solar-like isotopic composition, heavy noble gases ( argon, krypton and xenon) have an isotopic composition very similar to that of the modern atmosphere, with radiogenic and ( in the case of xenon) solar contributions. Mantle noble gases in a magmatic CO2 natural gas field have been previously corrected for shallow atmosphere/groundwater and crustal additions. Here we analyse new data from this field and show that the elemental composition of non-radiogenic heavy noble gases in the mantle is remarkably similar to that of sea water. We challenge the popular concept of a noble gas `subduction barrier' - the convecting mantle noble gas isotopic and elemental composition is explained by subduction of sediment and seawater-dominated pore fluids. This accounts for similar to 100% of the non-radiogenic argon and krypton and 80% of the xenon. Approximately 50% of the convecting mantle water concentration can then be explained by this mechanism. Enhanced recycling of subducted material to the mantle plume source region then accounts for the lower ratio of radiogenic to non-radiogenic heavy noble gas isotopes and higher water content of plume-derived basalts.","Univ Manchester, Sch Earth Atmospher & Environm Sci, Manchester M13 9PL, Lancs, England","Holland, G (reprint author), Univ Manchester, Sch Earth Atmospher & Environm Sci, Oxford Rd, Manchester M13 9PL, Lancs, England.",g.holland@manchester.ac.uk,,"Ballentine, Chris/0000-0001-9382-070X",,,,49,105,107,3,28,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,186,191,,10.1038/nature04761,,6,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800038,16688169.0,No,,,11/20/17,cj,ballentine,male,0.72,173,na,na
1,J,"Holland, G; Ballentine, CJ",,,,"Holland, G; Ballentine, CJ",,,Seawater subduction controls the heavy noble gas composition of the mantle,NATURE,,,English,Article,,,,,,,MID-ATLANTIC RIDGE; STATE UPPER-MANTLE; EARTHS MANTLE; LOIHI SEAMOUNT; NEON ISOTOPES; MASS-TRANSFER; POPPING ROCK; LAU BASIN; BASALTS; HELIUM,"The relationship between solar volatiles and those now in the Earth's atmosphere and mantle reservoirs provides insight into the processes controlling the acquisition of volatiles during planetary accretion and their subsequent evolution. Whereas the light noble gases ( helium and neon) in the Earth's mantle preserve a solar-like isotopic composition, heavy noble gases ( argon, krypton and xenon) have an isotopic composition very similar to that of the modern atmosphere, with radiogenic and ( in the case of xenon) solar contributions. Mantle noble gases in a magmatic CO2 natural gas field have been previously corrected for shallow atmosphere/groundwater and crustal additions. Here we analyse new data from this field and show that the elemental composition of non-radiogenic heavy noble gases in the mantle is remarkably similar to that of sea water. We challenge the popular concept of a noble gas `subduction barrier' - the convecting mantle noble gas isotopic and elemental composition is explained by subduction of sediment and seawater-dominated pore fluids. This accounts for similar to 100% of the non-radiogenic argon and krypton and 80% of the xenon. Approximately 50% of the convecting mantle water concentration can then be explained by this mechanism. Enhanced recycling of subducted material to the mantle plume source region then accounts for the lower ratio of radiogenic to non-radiogenic heavy noble gas isotopes and higher water content of plume-derived basalts.","Univ Manchester, Sch Earth Atmospher & Environm Sci, Manchester M13 9PL, Lancs, England","Holland, G (reprint author), Univ Manchester, Sch Earth Atmospher & Environm Sci, Oxford Rd, Manchester M13 9PL, Lancs, England.",g.holland@manchester.ac.uk,,"Ballentine, Chris/0000-0001-9382-070X",,,,49,105,107,3,28,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,186,191,,10.1038/nature04761,,6,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800038,16688169.0,No,,,11/20/17,cj,ballentine,male,0.72,173,na,na
2,J,"Agnor, CB; Hamilton, DP",,,,"Agnor, CB; Hamilton, DP",,,Neptune's capture of its moon Triton in a binary-planet gravitational encounter,NATURE,,,English,Article,,,,,,,KUIPER-BELT BINARIES; ORBITAL EVOLUTION; SATELLITE CAPTURE; GAS DRAG; ORIGIN; SYSTEM; DISK; ASTEROIDS; OBJECTS; PLUTO,"Triton is Neptune's principal satellite and is by far the largest retrograde satellite in the Solar System ( its mass is similar to 40 per cent greater than that of Pluto). Its inclined and circular orbit lies between a group of small inner prograde satellites and a number of exterior irregular satellites with both prograde and retrograde orbits. This unusual configuration has led to the belief that Triton originally orbited the Sun before being captured in orbit around Neptune(1-3). Existing models(4-6) for its capture, however, all have significant bottlenecks that make their effectiveness doubtful. Here we report that a three-body gravitational encounter between a binary system (of similar to 10(3)-kilometre-sized bodies) and Neptune is a far more likely explanation for Triton's capture. Our model predicts that Triton was once a member of a binary with a range of plausible characteristics, including ones similar to the Pluto - Charon pair.","Univ Calif Santa Cruz, Dept Earth Sci, Ctr Origin Dynam & Evolut Planets, Santa Cruz, CA 95064 USA; Univ Maryland, Dept Astron, College Pk, MD 20742 USA","Agnor, CB (reprint author), Univ Calif Santa Cruz, Dept Earth Sci, Ctr Origin Dynam & Evolut Planets, 1156 High St, Santa Cruz, CA 95064 USA.",cagnor@pmc.ucsc.edu,,,,,,30,104,107,0,16,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,192,194,,10.1038/nature04792,,3,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800039,16688170.0,No,,,11/20/17,dp,hamilton,male,1,4,wd3POpUAAAAJ,2835
3,J,"Takahashi, KS; Gabay, M; Jaccard, D; Shibuya, K; Ohnishi, T; Lippmaa, M; Triscone, JM",,,,"Takahashi, KS; Gabay, M; Jaccard, D; Shibuya, K; Ohnishi, T; Lippmaa, M; Triscone, JM",,,Local switching of two-dimensional superconductivity using the ferroelectric field effect,NATURE,,,English,Article,,,,,,,NB-DOPED SRTIO3; THIN-FILMS; ELECTROSTATIC MODULATION; TRANSITION TEMPERATURES; SEMICONDUCTING SRTIO3; STRONTIUM-TITANATE,"Correlated oxides display a variety of extraordinary physical properties including high-temperature superconductivity(1) and colossal magnetoresistance(2). In these materials, strong electronic correlations often lead to competing ground states that are sensitive to many parameters - in particular the doping level so that complex phase diagrams are observed. A flexible way to explore the role of doping is to tune the electron or hole concentration with electric fields, as is done in standard semiconductor field effect transistors(3). Here we demonstrate a model oxide system based on high-quality heterostructures in which the ferroelectric field effect approach can be studied. We use a single-crystal film of the perovskite superconductor Nb-doped SrTiO3 as the superconducting channel and ferroelectric Pb(Zr, Ti) O-3 as the gate oxide. Atomic force microscopy is used to locally reverse the ferroelectric polarization, thus inducing large resistivity and carrier modulations, resulting in a clear shift in the superconducting critical temperature. Field-induced switching from the normal state to the ( zero resistance) superconducting state was achieved at a well-defined temperature. This unique system could lead to a field of research in which devices are realized by locally defining in the same material superconducting and normal regions with `perfect' interfaces, the interface being purely electronic. Using this approach, one could potentially design one-dimensional superconducting wires, superconducting rings and junctions, superconducting quantum interference devices ( SQUIDs) or arrays of pinning centres.","Univ Geneva, DPMC, CH-1211 Geneva 4, Switzerland; Univ Paris 11, Phys Solides Lab, F-91405 Orsay, France; Univ Tokyo, Inst Solid State Phys, Chiba 2778581, Japan","Triscone, JM (reprint author), Univ Geneva, DPMC, 24 Quai Ernest Ansermet, CH-1211 Geneva 4, Switzerland.",Jean-Marc.Triscone@physics.unige.ch,"Kim, Yu Jin/A-2433-2012; Shibuya, Keisuke/K-2079-2012; Takahashi, Kei/B-2498-2013; OHNISHI, Tsuyoshi/H-2670-2011","OHNISHI, Tsuyoshi/0000-0002-2333-7752",,,,24,57,58,6,110,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,195,198,,10.1038/nature04731,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800040,16688171.0,No,,,11/20/17,jm,triscone,male,0.83,126,na,na
4,J,"Jacobsen, RS; Andersen, KN; Borel, PI; Fage-Pedersen, J; Frandsen, LH; Hansen, O; Kristensen, M; Lavrinenko, AV; Moulin, G; Ou, H; Peucheret, C; Zsigri, B; Bjarklev, A",,,,"Jacobsen, RS; Andersen, KN; Borel, PI; Fage-Pedersen, J; Frandsen, LH; Hansen, O; Kristensen, M; Lavrinenko, AV; Moulin, G; Ou, H; Peucheret, C; Zsigri, B; Bjarklev, A",,,Strained silicon as a new electro-optic material,NATURE,,,English,Article,,,,,,,WAVE-GUIDES; OPTICAL MODULATOR; PHOTONIC CRYSTALS,"For decades, silicon has been the material of choice for mass fabrication of electronics. This is in contrast to photonics, where passive optical components in silicon have only recently been realized(1,2). The slow progress within silicon optoelectronics, where electronic and optical functionalities can be integrated into monolithic components based on the versatile silicon platform, is due to the limited active optical properties of silicon(3). Recently, however, a continuous-wave Raman silicon laser was demonstrated(4); if an effective modulator could also be realized in silicon, data processing and transmission could potentially be performed by all-silicon electronic and optical components. Here we have discovered that a significant linear electro-optic effect is induced in silicon by breaking the crystal symmetry. The symmetry is broken by depositing a straining layer on top of a silicon waveguide, and the induced nonlinear coefficient, chi(2) approximate to 15 pm V-1, makes it possible to realize a silicon electro-optic modulator. The strain-induced linear electro-optic effect may be used to remove a bottleneck(5) in modern computers by replacing the electronic bus with a much faster optical alternative.","Tech Univ Denmark, Nano DTU, Dept Commun Opt & Mat, COM DTU, DK-2800 Lyngby, Denmark; Tech Univ Denmark, Nano DTU, MIC Dept Micro & Nanotechnol, CINF, DK-2800 Lyngby, Denmark","Jacobsen, RS (reprint author), Tech Univ Denmark, Nano DTU, Dept Commun Opt & Mat, COM DTU, Bldg 345V, DK-2800 Lyngby, Denmark.",Rune@com.dtu.dk,"Hansen, Ole/C-4480-2011; Frandsen, Lars Hagedorn/B-4535-2012; Peucheret, Christophe/C-1359-2011; Lavrinenko, Andrei/E-4099-2015; Ou, Haiyan/D-8728-2011","Hansen, Ole/0000-0002-6090-8323; Frandsen, Lars Hagedorn/0000-0001-9145-2210; Peucheret, Christophe/0000-0002-1655-9293; Ou, Haiyan/0000-0002-0538-8230",,,,26,378,380,9,127,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,199,202,,10.1038/nature04706,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800041,16688172.0,No,,,11/20/17,a,bjarklev,male,0.59,56,na,na
5,J,"Maier, WD; Andreoli, MAG; McDonald, I; Higgins, MD; Boyce, AJ; Shukolyukov, A; Lugmair, GW; Ashwal, LD; Graser, P; Ripley, EM; Hart, RJ",,,,"Maier, WD; Andreoli, MAG; McDonald, I; Higgins, MD; Boyce, AJ; Shukolyukov, A; Lugmair, GW; Ashwal, LD; Graser, P; Ripley, EM; Hart, RJ",,,"Discovery of a 25-cm asteroid clast in the giant Morokweng impact crater, South Africa",NATURE,,,English,Article,,,,,,,ORDINARY CHONDRITES; ISOTOPIC EVIDENCE; CHICXULUB; METEORITE; SYSTEMATICS; PROJECTILE; BOUNDARY; ELEMENTS; ROCKS; MELT,"Meteorites provide a sample of Solar System bodies and so constrain the types of objects that have collided with Earth over time. Meteorites analysed to date, however, are unlikely to be representative of the entire population and it is also possible that changes in their nature have occurred with time(1). Large objects are widely believed to be completely melted or vaporized during high-angle impact with the Earth(2,3). Consequently, identification of large impactors relies on indirect chemical tracers, notably the platinum-group elements(4). Here we report the discovery of a large (25-cm), unaltered, fossil meteorite, and several smaller fragments within the impact melt of the giant (> 70 km diameter), 145-Myr-old Morokweng crater, South Africa. The large fragment ( clast) resembles an LL6 chondrite breccia, but contains anomalously iron-rich silicates, Fe-Ni sulphides, and no troilite or metal. It has chondritic chromium isotope ratios and identical platinum-group element ratios to the bulk impact melt. These features allow the unambiguous characterization of an impactor at a large crater. Furthermore, the unusual composition of the meteorite suggests that the Morokweng asteroid incorporated part of the LL chondrite parent body not represented by objects at present reaching the Earth.","Univ Quebec, Chicoutimi, PQ G7H 2B1, Canada; Univ Pretoria, Dept Geol, ZA-0002 Pretoria, South Africa; S African Nucl Energy Corp, ZA-0001 Pretoria, South Africa; Univ Witwatersrand, Sch Geosci, ZA-2050 Wits, South Africa; Cardiff Univ, Sch Earth Ocean & Planetary Sci, Cardiff CF10 3YE, Wales; Scottish Univ Environm Res Ctr, E Kilbride G75 0QF, Lanark, Scotland; Univ Calif San Diego, Scripps Inst Oceanog, La Jolla, CA 92093 USA; Indiana Univ, Dept Geol Sci, Bloomington, IN 47405 USA; Ithemba LABS Gauteng, ZA-2050 Wits, South Africa","Maier, WD (reprint author), Univ Quebec, Chicoutimi, PQ G7H 2B1, Canada.",wolfgang_maier@uqac.ca,"Boyce, Adrian/D-2263-2010","Boyce, Adrian/0000-0002-9680-0787; McDonald, Iain/0000-0001-9066-7244",,,,33,39,39,0,12,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,203,206,,10.1038/nature04751,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800042,16688173.0,No,,,11/20/17,rj,hart,male,0.83,108,na,na
6,J,"Guthrie, RD",,,,"Guthrie, RD",,,New carbon dates link climatic change with human colonization and Pleistocene extinctions,NATURE,,,English,Article,,,,,,,BERINGIA; ALASKA; VEGETATION; PENINSULA; HORSES; END; BP,"Drastic ecological restructuring, species redistribution and extinctions mark the Pleistocene-Holocene transition, but an insufficiency of numbers of well-dated large mammal fossils from this transition have impeded progress in understanding the various causative links(1). Here I add many new radiocarbon dates to those already published on late Pleistocene fossils from Alaska and the Yukon Territory (AK - YT) and show previously unrecognized patterns. Species that survived the Pleistocene, for example, bison ( Bison priscus, which evolved into Bison bison), wapiti (Cervus canadensis) and, to a smaller degree, moose (Alces alces), began to increase in numbers and continued to do so before and during human colonization and before the regional extinction of horse ( Equus ferus) and mammoth (Mammuthus primigenius). These patterns allow us to reject, at least in AK - YT, some hypotheses of late Pleistocene extinction: 'Blitzkrieg' version of simultaneous human overkill(2), 'keystone' removal(3), and 'palaeo-disease'(4). Hypotheses of a subtler human impact and/or ecological replacement or displacement are more consistent with the data. The new patterns of dates indicate a radical ecological sorting during a uniquely forage-rich transitional period, affecting all large mammals, including humans.","Univ Alaska, Inst Arctic Biol, Fairbanks, AK 99709 USA","Guthrie, RD (reprint author), Univ Alaska, Inst Arctic Biol, Fairbanks, AK 99709 USA.",ffrdg@uaf.edu,,,,,,30,150,157,21,182,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,207,209,,10.1038/nature04604,,3,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800043,16688174.0,No,,,11/20/17,rd,guthrie,male,0.89,9,na,na
7,J,"Savolainen, V; Anstett, MC; Lexer, C; Hutton, I; Clarkson, JJ; Norup, MV; Powell, MP; Springate, D; Salamin, N; Baker, WJ",,,,"Savolainen, V; Anstett, MC; Lexer, C; Hutton, I; Clarkson, JJ; Norup, MV; Powell, MP; Springate, D; Salamin, N; Baker, WJ",,,Sympatric speciation in palms on an oceanic island,NATURE,,,English,Article,,,,,,,LORD-HOWE ISLAND; PACIFIC-OCEAN; DIVERGENCE; EVOLUTION; ORIGIN; SELECTION; ANIMALS,"The origin of species diversity has challenged biologists for over two centuries. Allopatric speciation, the divergence of species resulting from geographical isolation, is well documented(1). However, sympatric speciation, divergence without geographical isolation, is highly controversial(2). Claims of sympatric speciation must demonstrate species sympatry, sister relationships, reproductive isolation, and that an earlier allopatric phase is highly unlikely(1). Here we provide clear support for sympatric speciation in a case study of two species of palm ( Arecaceae) on an oceanic island. A large dated phylogenetic tree shows that the two species of Howea, endemic to the remote Lord Howe Island, are sister taxa and diverged from each other well after the island was formed 6.9 million years ago(3). During fieldwork, we found a substantial disjunction in flowering time that is correlated with soil preference. In addition, a genome scan(4,5) indicates that few genetic loci are more divergent between the two species than expected under neutrality, a finding consistent with models of sympatric speciation involving disruptive/ divergent selection(2). This case study of sympatric speciation in plants provides an opportunity for refining theoretical models on the origin of species, and new impetus for exploring putative plant and animal examples on oceanic islands.","Royal Bot Gardens, Richmond TW9 3DS, Surrey, England; Ctr Evolutionary & Funct Ecol, UMR 5175, F-34293 Montpellier 5, France; Aarhus Univ, Dept Systemat Bot, DK-8000 Aarhus C, Denmark; Univ Lausanne, Dept Ecol & Evolut, CH-1015 Lausanne, Switzerland","Savolainen, V (reprint author), Royal Bot Gardens, Richmond TW9 3DS, Surrey, England.",v.savolainen@kew.org,"Baker, William/B-1244-2011; Lexer, Christian/N-3702-2013; Anstett, Marie Charlotte/N-7977-2017","Baker, William/0000-0001-6727-1831; Anstett, Marie Charlotte/0000-0001-7786-0357; Savolainen, Vincent/0000-0001-5350-9984",,,,30,341,356,16,261,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,210,213,,10.1038/nature04566,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800044,16467788.0,No,,,11/20/17,wj,baker,male,1,2,_XYSdkkAAAAJ,411
8,J,"Field, J; Cronin, A; Bridge, C",,,,"Field, J; Cronin, A; Bridge, C",,,Future fitness and helping in social queues,NATURE,,,English,Article,,,,,,,EUSOCIAL HOVER WASPS; KIN SELECTION; REPRODUCTIVE SKEW; ANIMAL SOCIETIES; GENETIC-MARKERS; GROUP-SIZE; RELATEDNESS; VERTEBRATES; EVOLUTION; HELPERS,"Helpers in primitively eusocial and cooperatively breeding animal societies forfeit their own reproduction to rear the offspring of a queen or breeding pair, but may eventually attain breeding status themselves. Kin selection(1) provides a widely accepted theoretical framework for understanding these societies, but differences in genetic relatedness do not explain a universal societal feature: the huge variation between individuals in helping effort(2-10). An alternative explanation for this variation lies in a fundamental trade-off faced by helpers: by working harder, they increase the indirect component of their fitness, but simultaneously decrease their own future survival and fecundity(2,4,8). Here, we show that individuals work less hard when they stand to lose more future fitness through working. We experimentally manipulated two components of future fitness in social queues of hover wasps (Stenogastrinae): a helper's chance of inheriting an egg-laying position, and the workforce available to rear her offspring should she inherit. After each manipulation, helpers increased or decreased their effort as appropriate to the change in expected future fitness that they experienced. Although helping provides significant indirect fitness benefits for hover wasps(11), our study shows that variation in the costs associated with helping is the major determinant of helping effort.","UCL, Dept Biol, London NW1 2HE, England","Field, J (reprint author), UCL, Dept Biol, Wolfson House,4 Stephenson Way, London NW1 2HE, England.",jeremy.field@ucl.ac.uk,,,,,,28,71,76,0,33,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,214,217,,10.1038/nature04560,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800045,16688175.0,No,,,11/20/17,c,bridge,male,0.74,27,na,na
9,J,"Basch, ML; Bronner-Fraser, M; Garcia-Castro, MI",,,,"Basch, ML; Bronner-Fraser, M; Garcia-Castro, MI",,,Specification of the neural crest occurs during gastrulation and requires Pax7,NATURE,,,English,Article,,,,,,,PLATE; INDUCTION; SIGNALS; DIFFERENTIATION; NEURULATION; EPIDERMIS; ECTODERM; STAGE-4; XENOPUS; EMBRYO,"The neural crest is a stem population critical for development of the vertebrate craniofacial skeleton and peripheral ganglia. Neural crest cells originate along the border between the neural plate and epidermis(1), migrate extensively and generate numerous derivatives, including neurons and glia of the peripheral nervous system, melanocytes, bone and cartilage of the head skeleton(2). Impaired neural crest development is associated with human defects, including cleft palate(3). Classically, the neural crest has been thought to form by interactions at the border between neural and non-neural ectoderm or mesoderm(4-7), and defined factors such as bone morphogenetic proteins (BMPs) and Wnt proteins have been postulated as neural crest-inducers(8-13). Although competence to induce crest cells declines after stage 10 ( ref. 14), little is known about when neural crest induction begins in vivo. Here we report that neural crest induction is underway during gastrulation and well before proper neural plate appearance. We show that a restricted region of chick epiblast ( stage 3 - 4) is specified to generate neural crest cells when explanted under non-inducing conditions. This region expresses the transcription factor Pax7 by stage 41 and later contributes to neural folds and migrating neural crest. In chicken embryos, Pax7 is required for neural crest formation in vivo, because blocking its translation inhibits expression of the neural crest markers Slug, Sox9, Sox10 and HNK-1. Our results indicate that neural crest specification initiates earlier than previously assumed, independently of mesodermal and neural tissues, and that Pax7 has a crucial function during neural crest development.","CALTECH, Div Biol 139 74, Pasadena, CA 91125 USA; Yale Univ, MCDB, New Haven, CT 06520 USA","Garcia-Castro, MI (reprint author), CALTECH, Div Biol 139 74, Pasadena, CA 91125 USA.",martin.garcia-castro@yale.edu,"Basch, Martin/I-6632-2012","Bronner, Marianne/0000-0003-4274-1862",,,,30,172,175,4,20,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,11-May,2006,441,7090,,,,,218,222,,10.1038/nature04684,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,040YP,WOS:000237418800046,16688176.0,No,,,11/20/17,mi,garcia-castro,female,0.56,113,na,na
